GOTOES_CSV,timestamp,position_lat,position_long,altitude,heart_rate,cadence,distance,speed,power,compressed_speed_distance,grade,resistance,time_from_course,cycle_length,temperature,,,,speed_1s,cycles,total_cycles,,,,,,,,,compressed_accumulated_power,accumulated_power,left_right_balance,gps_accuracy,vertical_speed,calories,,,,,,vertical_oscillation,stance_time_percent,stance_time,activity_type,left_torque_effectiveness,right_torque_effectiveness,left_pedal_smoothness,right_pedal_smoothness,combined_pedal_smoothness,time128,stroke_type,zone,ball_speed,cadence256,fractional_cadence,total_hemoglobin_conc,total_hemoglobin_conc_min,total_hemoglobin_conc_max,saturated_hemoglobin_percent,saturated_hemoglobin_percent_min,saturated_hemoglobin_percent_max,,unknown61,device_index,,,,unknown66,left_pco,right_pco,left_power_phase,left_power_phase_peak,right_power_phase,right_power_phase_peak,enhanced_speed,,,,,enhanced_altitude,,,battery_soc,motor_power,vertical_ratio,stance_time_balance,step_length,,,,,,absolute_pressure,depth,next_stop_depth,next_stop_time,time_to_surface,ndl_time,cns_load,n2_load,,,,,,,,,,,,,,,,grit,flow,,ebike_travel_range,ebike_battery_level,ebike_assist_mode,ebike_assist_level_percent
,2024-11-23T00:30:55,46.1925240,4.6978735,,67,0,1.00,,0,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,65535,65535,65535,running,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,1.480,,,,,300.6,,,,,65535,65535,65535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-11-23T00:30:56,46.1925225,4.6978587,,67,0,2.29,,0,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,65535,65535,65535,running,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,0.000,,,,,300.8,,,,,65535,65535,65535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-11-23T00:31:00,46.1925562,4.6977898,,69,83,2.29,,65535,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,80.2,65535,263.0,running,,,,,,,,,,,0.50,,,,,,,,,,,,,,,,,,,,9.137,,,,,300.8,,,,,9.26,65535,865.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-11-23T00:31:01,46.1925665,4.6977673,,70,83,4.67,,191,,,,,,22,,,,,,,,,,,,,,,,191,,,,,,,,,,85.9,65535,279.0,running,,,,,,,,,,,0.50,,,,,,,,,,,,,,,,,,,,8.500,,,,,300.8,,,,,10.06,65535,853.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-11-23T00:31:02,46.1925753,4.6977368,,72,83,7.12,,208,,,,,,22,,,,,,,,,,,,,,,,399,,,,,,,,,,89.6,65535,275.0,running,,,,,,,,,,,0.50,,,,,,,,,,,,,,,,,,,,9.137,,,,,301.0,,,,,9.77,65535,917.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-11-23T00:31:03,46.1925843,4.6977112,,73,84,9.59,,215,,,,,,22,,,,,,,,,,,,,,,,614,,,,,,,,,,91.1,65535,268.0,running,,,,,,,,,,,0.50,,,,,,,,,,,,,,,,,,,,9.742,,,,,301.0,,,,,9.42,65535,966.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-11-23T00:31:04,46.1925934,4.6976807,,74,84,12.11,,220,,,,,,22,,,,,,,,,,,,,,,,834,,,,,,,,,,92.8,65535,266.0,running,,,,,,,,,,,0.50,,,,,,,,,,,,,,,,,,,,10.076,,,,,301.0,,,,,9.28,65535,999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-11-23T00:31:05,46.1926036,4.6976535,,76,84,14.85,,227,,,,,,22,,,,,,,,,,,,,,,,1061,,,,,,,,,,92.8,65535,266.0,running,,,,,,,,,,,0.50,,,,,,,,,,,,,,,,,,,,10.076,,,,,301.0,,,,,9.28,65535,999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-11-23T00:31:06,46.1926144,4.6976277,,78,84,17.41,,221,,,,,,22,,,,,,,,,,,,,,,,1282,,,,,,,,,,92.8,65535,266.0,running,,,,,,,,,,,0.50,,,,,,,,,,,,,,,,,,,,10.076,,,,,301.0,,,,,9.28,65535,999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-11-23T00:31:07,46.1926253,4.6976036,,79,84,19.75,,215,,,,,,22,,,,,,,,,,,,,,,,1497,,,,,,,,,,92.8,65535,266.0,running,,,,,,,,,,,0.50,,,,,,,,,,,,,,,,,,,,10.076,,,,,301.2,,,,,9.28,65535,999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-11-23T00:31:08,46.1926348,4.6975821,,80,85,21.57,,212,,,,,,22,,,,,,,,,,,,,,,,1709,,,,,,,,,,90.5,65535,264.0,running,,,,,,,,,,,0.50,,,,,,,,,,,,,,,,,,,,10.076,,,,,301.2,,,,,9.16,65535,987.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-11-23T00:31:09,46.1926425,4.6975523,,81,85,24.02,,209,,,,,,22,,,,,,,,,,,,,,,,1918,,,,,,,,,,89.5,65535,265.0,running,,,,,,,,,,,0.50,,,,,,,,,,,,,,,,,,,,9.842,,,,,301.2,,,,,9.27,65535,964.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-11-23T00:31:10,46.1926530,4.6975282,,83,86,26.12,,201,,,,,,22,,,,,,,,,,,,,,,,2119,,,,,,,,,,85.5,65535,265.0,running,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,9.439,,,,,301.2,,,,,9.35,65535,914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-11-23T00:31:11,46.1926549,4.6975091,,84,86,27.92,,199,,,,,,22,,,,,,,,,,,,,,,,2318,,,,,,,,,,84.7,65535,266.0,running,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,9.270,,,,,301.4,,,,,9.43,65535,898.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-11-23T00:31:12,46.1926514,4.6974844,,86,86,29.82,,199,,,,,,22,,,,,,,,,,,,,,,,2517,,,,,,,,,,84.1,65535,267.0,running,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,9.205,,,,,301.6,,,,,9.44,65535,891.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-11-23T00:31:13,46.1926445,4.6974650,,87,86,31.47,,195,,,,,,22,,,,,,,,,,,,,,,,2712,,,,,,,,,,82.7,65535,269.0,running,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,8.935,,,,,301.8,,,,,9.55,65535,865.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-11-23T00:31:14,46.1926311,4.6974434,,89,86,33.51,,194,,,,,,22,,,,,,,,,,,,,,,,2906,,,,,,,,,,82.3,65535,269.0,running,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,8.834,,,,,301.8,,,,,9.62,65535,856.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-11-23T00:31:15,46.1926135,4.6974222,,90,86,36.10,,194,,,,,,22,,,,,,,,,,,,,,,,3100,,,,,,,,,,81.7,65535,270.0,running,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,8.734,,,,,301.8,,,,,9.65,65535,846.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-11-23T00:31:16,46.1925906,4.6974056,,91,86,38.97,,196,,,,,,22,,,,,,,,,,,,,,,,3296,,,,,,,,,,81.7,65535,270.0,running,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,8.734,,,,,301.8,,,,,9.65,65535,846.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-11-23T00:31:17,46.1925690,4.6973953,,93,86,41.56,,198,,,,,,22,,,,,,,,,,,,,,,,3494,,,,,,,,,,82.3,65535,269.0,running,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,8.834,,,,,301.6,,,,,9.62,65535,856.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-11-23T00:31:18,46.1925447,4.6973749,,94,85,44.86,,203,,,,,,22,,,,,,,,,,,,,,,,3697,,,,,,,,,,84.7,65535,271.0,running,,,,,,,,,,,0.50,,,,,,,,,,,,,,,,,,,,8.968,,,,,301.4,,,,,9.64,65535,879.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-11-23T00:31:19,46.1925227,4.6973608,,95,85,47.59,,204,,,,,,22,,,,,,,,,,,,,,,,3901,,,,,,,,,,85.3,65535,270.0,running,,,,,,,,,,,0.50,,,,,,,,,,,,,,,,,,,,9.036,,,,,301.4,,,,,9.63,65535,885.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-11-23T00:31:20,46.1924997,4.6973469,,96,85,50.21,,208,,,,,,22,,,,,,,,,,,,,,,,4109,,,,,,,,,,86.3,65535,269.0,running,,,,,,,,,,,0.50,,,,,,,,,,,,,,,,,,,,9.238,,,,,301.2,,,,,9.53,65535,905.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
