GOTOES_CSV,timestamp,position_lat,position_long,altitude,heart_rate,cadence,distance,speed,power,compressed_speed_distance,grade,resistance,time_from_course,cycle_length,temperature,,,,speed_1s,cycles,total_cycles,,,,,,,,,compressed_accumulated_power,accumulated_power,left_right_balance,gps_accuracy,vertical_speed,calories,,,,,,vertical_oscillation,stance_time_percent,stance_time,activity_type,left_torque_effectiveness,right_torque_effectiveness,left_pedal_smoothness,right_pedal_smoothness,combined_pedal_smoothness,time128,stroke_type,zone,ball_speed,cadence256,fractional_cadence,total_hemoglobin_conc,total_hemoglobin_conc_min,total_hemoglobin_conc_max,saturated_hemoglobin_percent,saturated_hemoglobin_percent_min,saturated_hemoglobin_percent_max,,unknown61,device_index,,,,unknown66,left_pco,right_pco,left_power_phase,left_power_phase_peak,right_power_phase,right_power_phase_peak,enhanced_speed,,,,,enhanced_altitude,,,battery_soc,motor_power,vertical_ratio,stance_time_balance,step_length,,,,,,absolute_pressure,depth,next_stop_depth,next_stop_time,time_to_surface,ndl_time,cns_load,n2_load,,,,,,,,,,,,,,,,grit,flow,,ebike_travel_range,ebike_battery_level,ebike_assist_mode,ebike_assist_level_percent
,2024-10-27T01:58:03,46.5132028,6.6216965,,87,0,0.00,,0,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,65535,65535,65535,running,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,0.000,,,,,413.8,,,,,65535,65535,65535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-10-27T01:58:04,46.5131962,6.6217140,,87,0,1.08,,0,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,65535,65535,65535,running,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,0.000,,,,,413.8,,,,,65535,65535,65535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-10-27T01:58:07,46.5131530,6.6218054,,87,0,1.08,,65535,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,65535,65535,65535,running,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,8.766,,,,,413.4,,,,,65535,65535,65535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-10-27T01:58:08,46.5131292,6.6218485,,87,0,4.92,,0,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,65535,65535,65535,running,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,12.427,,,,,413.2,,,,,65535,65535,65535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-10-27T01:58:09,46.5131083,6.6218855,,87,88,9.12,,0,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,65535,65535,65535,running,,,,,,,,,,,0.50,,,,,,,,,,,,,,,,,,,,12.564,,,,,413.2,,,,,65535,65535,65535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-10-27T01:58:10,46.5130859,6.6219319,,87,88,13.08,,310,,,,,,24,,,,,,,,,,,,,,,,310,,,,,,,,,,95.0,65535,239.0,running,,,,,,,,,,,0.50,,,,,,,,,,,,,,,,,,,,13.673,,,,,413.2,,,,,7.98,65535,1189.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-10-27T01:58:11,46.5130644,6.6219779,,89,95,17.48,,314,,,,,,24,,,,,,,,,,,,,,,,624,,,,,,,,,,98.7,65535,231.0,running,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,13.673,,,,,413.2,,,,,7.62,65535,1294.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-10-27T01:58:12,46.5130434,6.6220187,,90,95,21.56,,252,,,,,,24,,,,,,,,,,,,,,,,876,,,,,,,,,,84.3,65535,218.0,running,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,12.092,,,,,413.2,,,,,7.03,65535,1199.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-10-27T01:58:13,46.5130214,6.6220560,,91,94,24.90,,242,,,,,,24,,,,,,,,,,,,,,,,1118,,,,,,,,,,79.7,65535,229.0,running,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,11.689,,,,,413.2,,,,,7.52,65535,1060.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-10-27T01:58:14,46.5129975,6.6221042,,92,94,29.70,,242,,,,,,24,,,,,,,,,,,,,,,,1360,,,,,,,,,,80.0,65535,234.0,running,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,11.689,,,,,413.2,,,,,7.72,65535,1036.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-10-27T01:58:15,46.5129769,6.6221502,,93,94,33.82,,291,,,,,,24,,,,,,,,,,,,,,,,1651,,,,,,,,,,80.0,65535,234.0,running,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,13.975,,,,,413.0,,,,,7.72,65535,1036.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-10-27T01:58:16,46.5129588,6.6221921,,94,94,37.75,,319,,,,,,24,,,,,,,,,,,,,,,,1970,,,,,,,,,,88.5,65535,213.0,running,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,14.512,,,,,413.0,,,,,6.88,65535,1286.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-10-27T01:58:17,46.5129362,6.6222356,,95,94,41.71,,319,,,,,,24,,,,,,,,,,,,,,,,2289,,,,,,,,,,88.5,65535,213.0,running,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,14.512,,,,,413.0,,,,,6.88,65535,1286.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-10-27T01:58:18,46.5129180,6.6222743,,95,95,45.54,,320,,,,,,24,,,,,,,,,,,,,,,,2609,,,,,,,,,,88.5,65535,213.0,running,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,14.443,,,,,413.0,,,,,6.88,65535,1286.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-10-27T01:58:19,46.5128991,6.6223184,,96,95,49.51,,303,,,,,,24,,,,,,,,,,,,,,,,2912,,,,,,,,,,86.4,65535,212.0,running,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,14.411,,,,,413.0,,,,,6.82,65535,1267.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-10-27T01:58:20,46.5128814,6.6223546,,96,95,53.19,,297,,,,,,24,,,,,,,,,,,,,,,,3209,,,,,,,,,,86.4,65535,212.0,running,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,14.342,,,,,413.0,,,,,6.83,65535,1264.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-10-27T01:58:21,46.5128629,6.6224009,,97,95,56.71,,292,,,,,,24,,,,,,,,,,,,,,,,3501,,,,,,,,,,86.0,65535,213.0,running,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,14.108,,,,,413.0,,,,,6.84,65535,1258.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-10-27T01:58:22,46.5128453,6.6224464,,97,91,61.24,,296,,,,,,24,,,,,,,,,,,,,,,,3797,,,,,,,,,,93.3,65535,222.0,running,,,,,,,,,,,0.50,,,,,,,,,,,,,,,,,,,,14.108,,,,,413.0,,,,,7.22,65535,1291.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
